Reaction_No,Reactant_1_Name,Reactant_1_Short_Hand,Reactant_1_eq,Reactant_1_mmol,Reactant_2_Name,Reactant_2_eq,Catalyst_1_Short_Hand,Catalyst_1_eq,Ligand_Short_Hand,Ligand_eq,Reagent_1_Short_Hand,Reagent_1_eq,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,Product_Yield_Mass_Ion_Count,,
673,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,NaOH,2.5,MeOH,85.05,99899.33,,
674,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,NaOH,2.5,MeOH,92.80,375922.79,,
675,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,NaOH,2.5,MeOH,77.34,88479.80,,
676,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,NaOH,2.5,MeOH,91.24,346174.78,,
677,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,NaOH,2.5,MeOH,87.00,105461.86,,
678,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,NaOH,2.5,MeOH,91.58,282291.16,,
679,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,NaOH,2.5,MeOH,92.88,102562.52,,
680,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,NaOH,2.5,MeOH,54.52,158684.53,,
681,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,NaOH,2.5,MeOH,91.27,92705.22,,
682,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,NaOH,2.5,MeOH,55.16,197067.05,,
683,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,NaOH,2.5,MeOH,0.80,6111.33,,
684,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,NaOH,2.5,MeOH,71.49,203345.60,,
685,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,NaHCO3,2.5,MeOH,77.88,84586.07,,
686,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,NaHCO3,2.5,MeOH,92.60,330759.56,,
687,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,NaHCO3,2.5,MeOH,81.73,90033.94,,
688,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,NaHCO3,2.5,MeOH,92.24,334918.12,,
689,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,NaHCO3,2.5,MeOH,93.79,99920.29,,
690,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,NaHCO3,2.5,MeOH,86.98,205784.31,,
691,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,NaHCO3,2.5,MeOH,85.69,91272.65,,
692,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,NaHCO3,2.5,MeOH,31.27,90389.84,,
693,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,NaHCO3,2.5,MeOH,82.19,84751.22,,
694,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,NaHCO3,2.5,MeOH,27.37,109841.41,,
695,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,NaHCO3,2.5,MeOH,2.18,3135.72,,
696,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,NaHCO3,2.5,MeOH,51.10,169250.87,,
697,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,CsF,2.5,MeOH,69.56,82034.70,,
698,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,CsF,2.5,MeOH,75.46,276172.75,,
699,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,CsF,2.5,MeOH,75.58,85849.44,,
700,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,CsF,2.5,MeOH,75.43,296536.83,,
701,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,CsF,2.5,MeOH,87.41,87772.73,,
702,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,CsF,2.5,MeOH,80.50,225927.60,,
703,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,CsF,2.5,MeOH,56.64,58480.85,,
704,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,CsF,2.5,MeOH,37.65,81413.69,,
705,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,CsF,2.5,MeOH,45.64,46847.16,,
706,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,CsF,2.5,MeOH,16.40,67263.48,,
707,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,CsF,2.5,MeOH,1.60,2168.19,,
708,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,CsF,2.5,MeOH,31.93,110209.14,,
709,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,K3PO4,2.5,MeOH,84.62,79891.94,,
710,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,K3PO4,2.5,MeOH,94.67,324399.30,,
711,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,K3PO4,2.5,MeOH,76.31,77952.24,,
712,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,K3PO4,2.5,MeOH,88.84,278732.90,,
713,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,K3PO4,2.5,MeOH,90.31,89096.37,,
714,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,K3PO4,2.5,MeOH,89.42,173835.05,,
715,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,K3PO4,2.5,MeOH,92.54,89206.95,,
716,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,K3PO4,2.5,MeOH,46.40,104225.14,,
717,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,K3PO4,2.5,MeOH,90.69,87752.09,,
718,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,K3PO4,2.5,MeOH,21.61,63738.23,,
719,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,K3PO4,2.5,MeOH,3.03,4300.54,,
720,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,K3PO4,2.5,MeOH,66.53,186750.88,,
721,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,KOH,2.5,MeOH,81.33,81247.23,,
722,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,KOH,2.5,MeOH,92.61,371850.33,,
723,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,KOH,2.5,MeOH,71.62,75160.44,,
724,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,KOH,2.5,MeOH,89.74,320709.71,,
725,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,KOH,2.5,MeOH,88.24,93720.28,,
726,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,KOH,2.5,MeOH,85.46,170520.77,,
727,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,KOH,2.5,MeOH,91.14,103289.26,,
728,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,KOH,2.5,MeOH,54.68,141998.16,,
729,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,KOH,2.5,MeOH,90.55,89518.61,,
730,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,KOH,2.5,MeOH,34.00,109640.39,,
731,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,KOH,2.5,MeOH,1.02,5762.43,,
732,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,KOH,2.5,MeOH,68.89,194260.24,,
733,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,LiOtBu,2.5,MeOH,82.44,75595.78,,
734,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,LiOtBu,2.5,MeOH,92.90,305694.40,,
735,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,LiOtBu,2.5,MeOH,69.60,68765.66,,
736,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,LiOtBu,2.5,MeOH,89.34,314718.08,,
737,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,LiOtBu,2.5,MeOH,88.09,79697.59,,
738,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,LiOtBu,2.5,MeOH,85.58,152496.92,,
739,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,LiOtBu,2.5,MeOH,92.27,112858.19,,
740,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,LiOtBu,2.5,MeOH,48.60,123015.90,,
741,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,LiOtBu,2.5,MeOH,90.62,101160.87,,
742,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,LiOtBu,2.5,MeOH,21.41,61993.18,,
743,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,LiOtBu,2.5,MeOH,1.22,8423.72,,
744,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,LiOtBu,2.5,MeOH,71.34,213456.64,,
745,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,Et3N,2.5,MeOH,74.15,77628.01,,
746,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,Et3N,2.5,MeOH,82.99,303373.06,,
747,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,Et3N,2.5,MeOH,73.01,81200.63,,
748,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,Et3N,2.5,MeOH,75.99,278971.56,,
749,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,Et3N,2.5,MeOH,85.28,85494.06,,
750,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,Et3N,2.5,MeOH,82.84,213420.47,,
751,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,Et3N,2.5,MeOH,58.79,67142.46,,
752,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,Et3N,2.5,MeOH,37.12,102682.95,,
753,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,Et3N,2.5,MeOH,52.37,55145.97,,
754,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,Et3N,2.5,MeOH,21.11,88774.58,,
755,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,Et3N,2.5,MeOH,0.50,1931.14,,
756,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,Et3N,2.5,MeOH,29.26,95610.73,,
757,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,None,2.5,MeOH,53.80,55904.01,,
758,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,None,2.5,MeOH,62.78,209696.08,,
759,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,None,2.5,MeOH,61.57,67137.72,,
760,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,None,2.5,MeOH,52.54,189257.05,,
761,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,None,2.5,MeOH,63.78,67008.63,,
762,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,None,2.5,MeOH,62.37,160937.23,,
763,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,None,2.5,MeOH,36.20,42297.65,,
764,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,None,2.5,MeOH,26.26,58202.55,,
765,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,None,2.5,MeOH,26.69,31094.39,,
766,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,None,2.5,MeOH,15.94,61004.76,,
767,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,None,2.5,MeOH,1.18,1882.56,,
768,6-Bromoquinoline,"1b, 6-Br-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,None,2.5,MeOH,20.82,74330.19,,
769,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,NaOH,2.5,MeCN,56.38,76547.84,,
770,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,NaOH,2.5,MeCN,96.60,391944.08,,
771,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,NaOH,2.5,MeCN,83.79,86536.13,,
772,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,NaOH,2.5,MeCN,87.57,329913.81,,
773,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,NaOH,2.5,MeCN,69.99,81521.61,,
774,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,NaOH,2.5,MeCN,91.47,336771.47,,
775,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,NaOH,2.5,MeCN,91.47,97275.66,,
776,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,NaOH,2.5,MeCN,84.95,151941.84,,
777,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,NaOH,2.5,MeCN,92.69,99544.78,,
778,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,NaOH,2.5,MeCN,52.40,195898.76,,
779,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,NaOH,2.5,MeCN,22.78,26346.11,,
780,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,NaOH,2.5,MeCN,63.91,167751.37,,
781,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,NaHCO3,2.5,MeCN,66.86,70735.53,,
782,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,NaHCO3,2.5,MeCN,98.53,428913.42,,
783,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,NaHCO3,2.5,MeCN,94.26,110866.77,,
784,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,NaHCO3,2.5,MeCN,93.05,357897.97,,
785,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,NaHCO3,2.5,MeCN,78.44,83950.35,,
786,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,NaHCO3,2.5,MeCN,92.77,321654.39,,
787,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,NaHCO3,2.5,MeCN,78.31,95345.12,,
788,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,NaHCO3,2.5,MeCN,40.68,137653.81,,
789,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,NaHCO3,2.5,MeCN,78.08,80853.48,,
790,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,NaHCO3,2.5,MeCN,79.61,293687.41,,
791,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,NaHCO3,2.5,MeCN,0.70,12437.83,,
792,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,NaHCO3,2.5,MeCN,53.11,150304.57,,
793,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,CsF,2.5,MeCN,66.13,79182.62,,
794,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,CsF,2.5,MeCN,96.49,455245.83,,
795,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,CsF,2.5,MeCN,93.69,105192.71,,
796,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,CsF,2.5,MeCN,76.46,331519.46,,
797,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,CsF,2.5,MeCN,61.39,66088.92,,
798,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,CsF,2.5,MeCN,88.31,345174.65,,
799,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,CsF,2.5,MeCN,45.46,74806.68,,
800,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,CsF,2.5,MeCN,34.93,123253.18,,
801,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,CsF,2.5,MeCN,66.46,69802.50,,
802,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,CsF,2.5,MeCN,72.27,261707.73,,
803,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,CsF,2.5,MeCN,2.96,7711.93,,
804,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,CsF,2.5,MeCN,35.57,114003.13,,
805,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,K3PO4,2.5,MeCN,70.25,74876.33,,
806,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,K3PO4,2.5,MeCN,87.68,366215.27,,
807,6-triflatequinoline,"1c, 6-OTf-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,K3PO4,2.5,MeCN,87.91,95638.44,,
